"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24795","Проверка работоспособности сайта mdmprint.ru","chromium","Wed May 14 06:15:37 UTC 2025","passed","Wed May 14 06:16:02 UTC 2025","Проверка работоспособности сайтов","sitesWorkabilityCheking.spec.ts","",""
"","10491","Проверка работоспособности сайта copy.ru","chromium","Wed May 14 06:16:02 UTC 2025","passed","Wed May 14 06:16:12 UTC 2025","Проверка работоспособности сайтов","sitesWorkabilityCheking.spec.ts","",""
"","14470","Проверка работоспособности сайта litera.studio","chromium","Wed May 14 06:16:24 UTC 2025","passed","Wed May 14 06:16:39 UTC 2025","Проверка работоспособности сайтов","sitesWorkabilityCheking.spec.ts","",""
"","11042","Проверка работоспособности сайта vea.ru","chromium","Wed May 14 06:16:39 UTC 2025","passed","Wed May 14 06:16:50 UTC 2025","Проверка работоспособности сайтов","sitesWorkabilityCheking.spec.ts","",""
"","7945","Проверка работоспособности сайта sequoiapay.io","chromium","Wed May 14 06:16:50 UTC 2025","passed","Wed May 14 06:16:58 UTC 2025","Проверка работоспособности сайтов","sitesWorkabilityCheking.spec.ts","",""
"","12157","Проверка работоспособности сайта 1tm.ru","chromium","Wed May 14 06:16:12 UTC 2025","passed","Wed May 14 06:16:24 UTC 2025","Проверка работоспособности сайтов","sitesWorkabilityCheking.spec.ts","",""
